SerialNo,RespSex,Age_Banded,age_dv,Country_DV,surveyyear,bhhsize,below16,Below6,hhdinc,workstat,marstat2,bethnicity,Region_DV,Religion_DV,WIMD_2014_quintile,NIMD_2010_quintile,UrbanRuralInd,psu_dv,stratum_dv,combinedW1_4weight,countryW1_4weight,dietary,fdreac_dv,Q2_14sub_DV,Q2_14su2_DV,Q2_14su3_DV,Q2_14su4_DV,Q2_14su5_DV,Q2_14su6_DV,Q2_14su7_DV,Q2_14su8_DV,q2_14su9_DV,q2_14s10_DV,q2_14s11_DV,Q2_14s12_DV,Q2_14s13_DV,Q2_14s14_DV,Q2_14s15_DV,q2_14s16_DV,Q3_1,q3_131,Q6_4,Q11_8bDV,Q11_8bD2,Q11_8bD3,Q11_8bD4,Q11_8bD5,Q11_8bD6,Q11_8bD7,Q11_8bD8,Q11_8bD9,Q11_8b18,Q11_8b19,Q11_8b20,Q11_8b22,Q11_8b23,w3w2_Q11_8b_15,Q11_8b21,W3_Q11_8b_19,Q11_8b24,Q11_8b25,Q11_8b25v2,bpoison,Q4_27_6_Slice
100695,2,11,-1,1,1,4,2,-1,-9,1,2,2,7,2,-1,-1,1,1901,543,2.052028746,1.712911,3,0,8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4
110578,2,8,-1,1,1,2,2,-1,2,1,2,1,7,3,-1,-1,1,1901,543,1.15100899,0.960793,3,0,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5
111235,1,8,-1,1,1,4,1,-1,-9,1,2,1,7,1,-1,-1,1,1901,543,1.991710184,1.66256,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
106680,1,12,-1,1,1,2,2,-1,-9,2,2,1,2,3,-1,-1,1,1437,640,1.264990072,1.055938,3,0,3,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4
110427,2,12,-1,1,1,2,2,-1,-9,2,1,1,5,1,-1,-1,1,1127,707,1.014005731,0.846431,3,0,8,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5
107485,1,7,-1,1,1,4,2,-1,-9,1,2,1,5,3,-1,-1,1,1127,707,3.15488313,2.633507,3,0,4,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3
108908,1,10,-1,1,1,1,2,-1,1,1,2,1,5,1,-1,-1,1,1127,707,0.576709895,0.481403,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5
105087,2,12,-1,1,1,1,2,-1,2,2,2,1,5,1,-1,-1,1,1127,707,0.507002865,0.423216,3,0,8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6
106904,2,12,-1,1,1,2,2,-1,2,2,1,1,4,1,-1,-1,1,1550,657,1.158547436,0.967086,3,0,8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4
111415,2,12,-1,1,1,1,2,-1,1,2,2,1,6,1,-1,-1,1,1886,567,0.684343728,0.571249,3,0,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4
102377,1,7,-1,1,1,4,2,-1,2,1,2,1,6,3,-1,-1,1,1369,589,4.258408249,3.554663,3,0,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2
107113,1,12,-1,1,1,2,2,-1,2,2,1,1,2,3,-1,-1,1,1358,637,1.264990072,1.055938,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4
108251,1,12,-1,1,1,2,2,-1,-9,2,1,1,2,1,-1,-1,2,1824,673,1.264990072,1.055938,3,0,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4
110380,1,10,-1,1,1,3,2,-1,2,1,1,1,3,3,-1,-1,2,1679,694,1.752372086,1.462775,3,0,4,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5
103817,2,12,-1,1,1,2,2,-1,-9,2,1,1,3,1,-1,-1,2,1679,694,1.02704201,0.857313,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5
100501,1,12,-1,1,1,2,2,-1,1,1,2,1,5,2,-1,-1,1,1158,512,0.725078092,0.605252,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4
100588,1,12,-1,1,1,1,2,-1,1,2,2,1,1,1,-1,-1,1,1910,504,0.52933873,0.44186,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2
101104,2,12,-1,1,1,2,2,-1,-9,2,1,1,1,1,-1,-1,1,1910,504,1.035865116,0.864678,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2
108654,2,12,-1,1,1,1,2,-1,1,2,2,1,2,1,-1,-1,1,1056,544,0.618866365,0.516593,3,0,8,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5
107476,2,8,-1,1,1,3,1,-1,2,1,2,1,2,1,-1,-1,1,1928,596,0.584137468,0.487603,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2
108117,1,8,-1,1,1,1,2,-1,1,3,2,1,4,3,-1,-1,1,1801,558,0.946126731,0.78977,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5
103380,2,8,-1,1,1,3,1,-1,1,4,2,1,4,1,-1,-1,1,1801,558,0.577830537,0.482338,3,0,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5
107246,2,11,-1,1,1,2,2,-1,2,2,1,1,4,1,-1,-1,1,1801,558,1.158547436,0.967086,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5
110441,1,12,-1,1,1,1,2,-1,1,2,2,1,5,1,-1,-1,1,1355,501,0.518168049,0.432536,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4
108012,1,10,-1,1,1,4,1,-1,3,1,1,1,5,2,-1,-1,1,1355,501,2.472831998,2.064172,3,0,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4
107100,2,8,-1,1,1,3,2,-1,-9,1,2,2,7,1,-1,-1,1,1589,543,1.726513943,1.44119,3,0,3,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8,2
105804,1,11,-1,1,1,2,2,-1,-9,2,1,1,2,1,-1,-1,1,1437,640,1.264990072,1.055938,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8,4
107820,1,12,-1,1,1,2,2,-1,2,2,1,1,2,1,-1,-1,1,1437,640,1.264990072,1.055938,3,0,4,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4
104946,1,12,-1,1,1,1,2,-1,-9,2,2,2,8,1,-1,-1,1,1102,691,0.604839559,0.504883,3,1,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2
106929,2,12,-1,1,1,2,2,-1,-9,2,2,1,8,1,-1,-1,1,1102,691,1.183612975,0.988009,3,0,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5
109206,2,10,-1,1,1,2,2,-1,-9,4,1,1,7,1,-1,-1,1,1118,678,1.084307443,0.905114,3,0,4,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2
107714,2,8,-1,1,1,2,2,-1,3,4,1,1,2,3,-1,-1,1,1594,640,1.234649362,1.030611,3,0,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5
106854,1,12,-1,1,1,2,2,-1,4,2,1,1,2,1,-1,-1,1,1594,640,1.264990072,1.055938,3,0,4,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4
